,pred_summary_score,my_pred_summary_score
0,"(0.7830687830687831, 0.7486631016042781)","[0.7391304347826086, 0.7727272727272727, 0.7657657657657658]"
1,"(0.5700934579439253, 0.42452830188679247)","[0.5, 0.5614035087719298, 0.547945205479452]"
2,"(0.6508875739644971, 0.5389221556886228)","[0.5681818181818182, 0.6097560975609756, 0.6009615384615384]"
3,"(0.6577777777777778, 0.5919282511210764)","[0.5666666666666667, 0.576271186440678, 0.5743243243243242]"
4,"(0.326797385620915, 0.1986754966887417)","[0.25, 0.2727272727272727, 0.26785714285714285]"
5,"(0.5549132947976879, 0.4327485380116959)","[0.5208333333333334, 0.5952380952380952, 0.5787037037037037]"
6,"(0.4781144781144781, 0.33898305084745767)","[0.35294117647058826, 0.45454545454545453, 0.42979942693409745]"
7,"(0.47311827956989244, 0.34657039711191334)","[0.5254237288135594, 0.3522727272727273, 0.3771289537712896]"
8,"(0.38235294117647056, 0.23703703703703705)","[0.3670886075949367, 0.42028985507246375, 0.40845070422535207]"
9,"(0.45132743362831856, 0.28571428571428575)","[0.4, 0.4, 0.4]"
10,"(0.5589519650655022, 0.41409691629955947)","[0.5384615384615384, 0.4444444444444444, 0.4605263157894737]"
11,"(0.5917159763313609, 0.4404761904761905)","[0.49411764705882355, 0.5316455696202531, 0.5236907730673316]"
12,"(0.4761904761904762, 0.3267605633802817)","[0.41836734693877553, 0.4659090909090909, 0.45555555555555555]"
13,"(0.3902439024390244, 0.1970443349753695)","[0.25, 0.25, 0.25]"
14,"(0.5867768595041322, 0.45)","[0.49333333333333335, 0.5692307692307692, 0.5522388059701493]"
15,"(0.5384615384615385, 0.4244372990353698)","[0.5205479452054794, 0.4691358024691358, 0.4785894206549118]"
16,"(0.7415730337078652, 0.6641509433962264)","[0.7582417582417582, 0.8313253012048193, 0.8156028368794326]"
17,"(0.3184713375796178, 0.11612903225806452)","[0.28888888888888886, 0.3023255813953488, 0.29953917050691237]"
18,"(0.5128205128205129, 0.45217391304347826)","[0.5454545454545454, 0.4864864864864865, 0.4972375690607735]"
19,"(0.721030042918455, 0.6666666666666666)","[0.6491228070175439, 0.7551020408163265, 0.7312252964426877]"
20,"(0.48137535816618904, 0.3170028818443804)","[0.3902439024390244, 0.35555555555555557, 0.36199095022624433]"
21,"(0.612099644128114, 0.46785714285714286)","[0.5043478260869565, 0.5132743362831859, 0.5114638447971781]"
22,"(0.4318181818181818, 0.3053435114503817)","[0.38235294117647056, 0.37681159420289856, 0.3779069767441861]"
