,pred_summary_score,my_pred_summary_score
0,"(0.8307692307692308, 0.7875647668393783)","[0.7906976744186046, 0.85, 0.8374384236453202]"
1,"(0.8325791855203619, 0.7853881278538813)","[0.7611940298507462, 0.8947368421052632, 0.8644067796610169]"
2,"(0.8216216216216216, 0.7868852459016394)","[0.7857142857142857, 0.868421052631579, 0.8505154639175257]"
3,"(0.853658536585366, 0.8278688524590164)","[0.7936507936507936, 0.8928571428571429, 0.8710801393728224]"
4,"(0.9707602339181286, 0.9349112426035503)","[0.9347826086956522, 1.0, 0.9862385321100916]"
5,"(0.6666666666666666, 0.5816326530612245)","[0.5961538461538461, 0.7380952380952381, 0.7045454545454546]"
6,"(0.6959247648902821, 0.5993690851735016)","[0.5348837209302325, 0.7301587301587301, 0.6804733727810651]"
7,"(0.8908045977011495, 0.8554913294797688)","[0.8666666666666667, 0.896551724137931, 0.8904109589041098]"
8,"(0.7112676056338029, 0.6666666666666666)","[0.6666666666666666, 0.7384615384615385, 0.7228915662650603]"
9,"(0.6319702602230484, 0.4943820224719101)","[0.4473684210526316, 0.6415094339622641, 0.5902777777777777]"
10,"(0.8870967741935484, 0.8455284552845528)","[0.8714285714285714, 0.9682539682539683, 0.9472049689440996]"
11,"(0.800982800982801, 0.7654320987654321)","[0.6944444444444444, 0.974025974025974, 0.9014423076923078]"
12,"(0.7218390804597701, 0.651270207852194)","[0.6203703703703703, 0.8170731707317073, 0.7683486238532109]"
13,"(0.9827586206896551, 0.9565217391304347)","[0.9473684210526315, 1.0, 0.989010989010989]"
14,"(0.6816479400749065, 0.6188679245283019)","[0.6206896551724138, 0.84375, 0.7871720116618075]"
15,"(0.8865979381443297, 0.8604651162790697)","[0.8305084745762712, 0.98, 0.945945945945946]"
16,"(0.8614232209737828, 0.8377358490566038)","[0.9012345679012346, 0.9125, 0.9102244389027431]"
17,"(0.6244343891402716, 0.5388127853881278)","[0.484375, 0.7948717948717948, 0.7045454545454546]"
18,"(0.738255033557047, 0.6802721088435375)","[0.6521739130434783, 0.8333333333333334, 0.7894736842105264]"
19,"(0.6307692307692307, 0.5503875968992248)","[0.546875, 0.7608695652173914, 0.7056451612903226]"
20,"(0.6486486486486486, 0.5701357466063348)","[0.5391304347826087, 0.7294117647058823, 0.6813186813186812]"
21,"(0.9339774557165861, 0.8885298869143781)","[0.9238095238095239, 0.941747572815534, 0.9381044487427467]"
22,"(0.8539325842696629, 0.8075471698113208)","[0.8695652173913043, 0.9230769230769231, 0.9118541033434651]"
23,"(0.7421686746987952, 0.6924939467312349)","[0.7129629629629629, 0.8105263157894737, 0.7889344262295082]"
24,"(0.8704318936877078, 0.8294314381270902)","[0.8529411764705882, 0.9206349206349206, 0.90625]"
25,"(0.6981132075471698, 0.6139240506329113)","[0.5802469135802469, 0.7704918032786885, 0.7230769230769231]"
26,"(0.6993006993006994, 0.6126760563380282)","[0.6075949367088608, 0.7741935483870968, 0.7339449541284404]"
