,pred_summary_score,my_pred_summary_score
3344,"(0.23631123919308358, 0.10434782608695653)","[0.6, 0.13846153846153847, 0.16363636363636366]"
3080,"(0.15280135823429541, 0.06473594548551959)","[0.8, 0.12121212121212122, 0.145985401459854]"
858,"(0.11457036114570361, 0.0749063670411985)","[0.8125, 0.10569105691056911, 0.12795275590551183]"
227,"(0.20253164556962025, 0.1016949152542373)","[0.9696969696969697, 0.1711229946524064, 0.20486555697823303]"
177,"(0.27956989247311825, 0.1732851985559567)","[0.7, 0.20388349514563106, 0.23755656108597287]"
2356,"(0.27683615819209034, 0.21022727272727276)","[0.8888888888888888, 0.24, 0.2810304449648712]"
2817,"(0.25806451612903225, 0.16883116883116883)","[0.7142857142857143, 0.1893939393939394, 0.22202486678507993]"
342,"(0.37815126050420167, 0.2288135593220339)","[0.6551724137931034, 0.2602739726027397, 0.29595015576323985]"
1891,"(0.4556962025316456, 0.3076923076923077)","[0.5882352941176471, 0.3333333333333333, 0.36496350364963503]"
1027,"(0.21639344262295085, 0.07920792079207921)","[0.5357142857142857, 0.12931034482758622, 0.1524390243902439]"
2791,"(0.2935153583617747, 0.16494845360824742)","[0.6153846153846154, 0.16494845360824742, 0.1932367149758454]"
2377,"(0.12953367875647667, 0.03125)","[0.46875, 0.11627906976744186, 0.13686131386861314]"
47,"(0.22871046228710462, 0.16136919315403422)","[0.8064516129032258, 0.1968503937007874, 0.23191094619666053]"
4129,"(0.3333333333333333, 0.1721311475409836)","[0.7297297297297297, 0.2755102040816326, 0.31468531468531463]"
503,"(0.23225806451612901, 0.0844155844155844)","[0.45161290322580644, 0.10218978102189781, 0.12089810017271156]"
1384,"(0.2537764350453172, 0.14589665653495443)","[0.7333333333333333, 0.16541353383458646, 0.19572953736654805]"
1703,"(0.287719298245614, 0.2049469964664311)","[0.7931034482758621, 0.20909090909090908, 0.24520255863539445]"
1719,"(0.14968152866242038, 0.07348242811501597)","[0.8888888888888888, 0.09876543209876543, 0.12012012012012012]"
4035,"(0.27976190476190477, 0.16766467065868262)","[0.8125, 0.22033898305084745, 0.25793650793650796]"
1376,"(0.24999999999999997, 0.10857142857142858)","[0.8125, 0.2047244094488189, 0.24074074074074073]"
2558,"(0.08548707753479125, 0.049800796812749)","[0.8648648648648649, 0.0835509138381201, 0.10197578075207138]"
831,"(0.13969335604770017, 0.06495726495726496)","[0.6829268292682927, 0.11864406779661017, 0.14213197969543148]"
3626,"(0.0350748995250274, 0.016819012797074956)","[0.8461538461538461, 0.028683181225554105, 0.03555268261150614]"
3239,"(0.2623762376237624, 0.21393034825870647)","[0.9696969696969697, 0.22695035460992907, 0.26800670016750416]"
1470,"(0.1078582434514638, 0.0401854714064915)","[0.6, 0.0846774193548387, 0.10223953261927947]"
903,"(0.13257575757575757, 0.03802281368821293)","[0.6, 0.10909090909090909, 0.13043478260869568]"
2886,"(0.11912225705329152, 0.08176100628930817)","[0.9230769230769231, 0.10084033613445378, 0.1226993865030675]"
1141,"(0.24223602484472054, 0.10625000000000001)","[0.7, 0.16666666666666666, 0.19662921348314608]"
3202,"(0.2857142857142857, 0.16974169741697417)","[0.8709677419354839, 0.2647058823529412, 0.3075170842824601]"
2009,"(0.1651705565529623, 0.10090090090090088)","[0.875, 0.09210526315789473, 0.11217948717948717]"
196,"(0.24068767908309455, 0.14985590778097982)","[0.8648648648648649, 0.2711864406779661, 0.3143418467583497]"
1002,"(0.25462962962962965, 0.1581395348837209)","[0.9428571428571428, 0.20496894409937888, 0.24300441826215025]"
1332,"(0.1630901287553648, 0.04329004329004329)","[0.3, 0.13636363636363635, 0.1530612244897959]"
2070,"(0.31481481481481477, 0.16822429906542058)","[0.5862068965517241, 0.22077922077922077, 0.2522255192878338]"
3269,"(0.27530364372469635, 0.163265306122449)","[0.7692307692307693, 0.273972602739726, 0.31446540880503143]"
2799,"(0.3644859813084112, 0.1792452830188679)","[0.6896551724137931, 0.30303030303030304, 0.3412969283276451]"
2822,"(0.1605351170568562, 0.07718120805369127)","[0.9333333333333333, 0.12444444444444444, 0.15053763440860216]"
763,"(0.3517241379310345, 0.21527777777777776)","[0.8461538461538461, 0.21153846153846154, 0.24886877828054296]"
1247,"(0.2868217054263566, 0.1640625)","[0.53125, 0.18085106382978725, 0.20833333333333334]"
960,"(0.24390243902439024, 0.13623978201634876)","[0.7575757575757576, 0.20491803278688525, 0.2399232245681382]"
918,"(0.16379310344827588, 0.08225108225108226)","[0.6857142857142857, 0.12307692307692308, 0.147239263803681]"
203,"(0.17153996101364524, 0.07436399217221135)","[0.7741935483870968, 0.13559322033898305, 0.16238159675236807]"
1200,"(0.3346303501945525, 0.19607843137254902)","[0.75, 0.2608695652173913, 0.30000000000000004]"
3559,"(0.17509727626459143, 0.11718750000000001)","[0.8571428571428571, 0.14705882352941177, 0.17626321974148063]"
2267,"(0.2028985507246377, 0.12244897959183672)","[0.7941176470588235, 0.2231404958677686, 0.26061776061776065]"
785,"(0.1497326203208556, 0.026881720430107524)","[0.5, 0.12244897959183673, 0.14423076923076922]"
3438,"(0.2789115646258503, 0.1506849315068493)","[0.8148148148148148, 0.21359223300970873, 0.2505694760820045]"
3472,"(0.28746177370030584, 0.12307692307692307)","[0.8125, 0.2524271844660194, 0.2927927927927928]"
456,"(0.175054704595186, 0.07472527472527472)","[0.6071428571428571, 0.1223021582733813, 0.14554794520547945]"
1493,"(0.23076923076923075, 0.11309523809523808)","[0.65625, 0.15671641791044777, 0.18485915492957744]"
1836,"(0.3401360544217687, 0.06896551724137931)","[0.42424242424242425, 0.3111111111111111, 0.32863849765258213]"
166,"(0.3770491803278689, 0.23966942148760334)","[0.8666666666666667, 0.30952380952380953, 0.35519125683060115]"
4172,"(0.13476263399693722, 0.061443932411674354)","[0.6896551724137931, 0.08968609865470852, 0.10857763300760043]"
3847,"(0.26016260162601623, 0.12295081967213116)","[0.6428571428571429, 0.1836734693877551, 0.2142857142857143]"
