,pred_summary_score,my_pred_summary_score
3344,"(0.24571428571428572, 0.11494252873563218)","[0.6666666666666666, 0.15748031496062992, 0.18587360594795538]"
3080,"(0.15771812080536915, 0.06734006734006734)","[0.8, 0.12631578947368421, 0.1518987341772152]"
858,"(0.11372064276885044, 0.07434944237918216)","[0.875, 0.11570247933884298, 0.14]"
227,"(0.20081967213114751, 0.102880658436214)","[0.9696969696969697, 0.1787709497206704, 0.21361815754339122]"
177,"(0.27561837455830385, 0.16370106761565836)","[0.7142857142857143, 0.19801980198019803, 0.2314814814814815]"
2356,"(0.2785515320334262, 0.21288515406162467)","[0.9259259259259259, 0.2777777777777778, 0.3229974160206719]"
2817,"(0.25806451612903225, 0.16883116883116883)","[0.7058823529411765, 0.1875, 0.2197802197802198]"
342,"(0.38333333333333336, 0.2352941176470588)","[0.7241379310344828, 0.2916666666666667, 0.331230283911672]"
1891,"(0.4556962025316456, 0.3076923076923077)","[0.6176470588235294, 0.3442622950819672, 0.37769784172661863]"
1027,"(0.21498371335504884, 0.07868852459016393)","[0.56, 0.125, 0.14799154334038056]"
2791,"(0.2935153583617747, 0.16494845360824742)","[0.6153846153846154, 0.16842105263157894, 0.19704433497536944]"
2377,"(0.1288659793814433, 0.031088082901554404)","[0.45161290322580644, 0.11764705882352941, 0.1380670611439842]"
47,"(0.22815533980582525, 0.16097560975609757)","[0.8064516129032258, 0.2, 0.2354048964218456]"
4129,"(0.32411067193675885, 0.15936254980079678)","[0.8, 0.2916666666666667, 0.3341288782816229]"
503,"(0.23417721518987342, 0.08280254777070063)","[0.4666666666666667, 0.1037037037037037, 0.12280701754385966]"
1384,"(0.24999999999999997, 0.1437125748502994)","[0.7333333333333333, 0.16793893129770993, 0.19855595667870035]"
1703,"(0.2827586206896551, 0.2013888888888889)","[0.8928571428571429, 0.22522522522522523, 0.2648305084745763]"
1719,"(0.15094339622641506, 0.07570977917981073)","[0.9615384615384616, 0.10964912280701754, 0.13326226012793174]"
