,text,abstract,abstract_size,pred_summary,nltk_pred_summary
3344,"India's only existing steam engine was put on display at the Heritage Transport Museum in Haryana and was opened to the public on Saturday. The 64-year-old engine, originally built by a German locomotive manufacturer, was found in a worn-out state in Bihar. It has now been restored and can be operated occasionally if a visitor wants a private experience.","A shiny, sleek white steam engine huffing and puffing away, much like us in this stifling heat, is an unusual sight in the middle of nowhere, just beyond Bilaspur in Haryana. Located at the Heritage Transport Museum, India's only transport museum, the steam engine was unveiled at the museum on Saturday.Home to about 2,500 curated vintage cars, buses, trains and pre-mechanised modes of transportation like bullock carts and even boats and an aviation gallery, the museum is the brainchild of Tarun Thakral, founder and managing trustee, and traces the evolution of modes of transport in India.""There aren't any steam engines operational because it's quite expensive. Even the toy trains work on diesel or battery. So, the younger genera-tion has no idea what a steam engine looks like or functions. This is an opportunity for them to see the same,"" says Tarun. The 12.5-ft tall and 31-ft long engine moved back and forth on the relatively small track, using wood to obtain the steam. The engine, originally built in 1953 by a German locomotive manufacturer, has been restored from its dilapidated condition in which it was found in Bihar. ""It took three months to restore it, while permissions and talks with the Indian Railways to acquire it took about three years. We are using wood here because coal quality is not good,"" says Tarun. This steam engine will be operational on special occasio-ns and one can also pay and get the engine moving, in case anyone wants a private experience.The museum, which opened in December 2013, after Tarun fell in love with cars. ""I needed space to store them and I had this land. So, I applied for permissions and decided to open a transport museum,"" concludes Tarun. ",16,"India's only existing steam engine was put on display at the Heritage Transport Museum in Haryana and was opened to the public on Saturday. The 64-year-old engine, originally built by a German locomotive manufacturer, was found in a worn-out state in Bihar. It has now been restored and can be operated occasionally if a visitor wants a private experience.","India's only existing steam engine was put on display at the Heritage Transport Museum in Haryana and was opened to the public on Saturday. The 64-year-old engine, originally built by a German locomotive manufacturer, was found in a worn-out state in Bihar. It has now been restored and can be operated occasionally if a visitor wants a private experience."
3080,"A producer filed a petition claiming the title and story of Rajinikanth's upcoming film 'Kaala Karikaalan' belongs to him. Further, he claimed that the film's title has been registered with the South Indian Film Chamber of Commerce, and alleged that the chamber is misusing rules to ""favour influential people"". He asked the court to restrain the film's makers from shooting. ","A court on Thursday sought the response of superstar Rajinikanth and others on a petition by a producer claiming that the title and story of the actor's upcoming flick Kaala Karikaalan belonged to him.Assistant City Civil Judge RKP Tamilarasi issued notice to Rajinikanth, the director and producer of the movie and South Indian Film Chamber of Commerce to file their replies by June 15.Petitioner K Rajashekaran, proprietor of GSR Vinmeen Creations, sought a direction to restrain the respondents from producing Kaala Karikaalan till the disposal of his petition.""I had narrated the story to his PA and I was made to wait for five years for a call sheet. Then finally when he met me he clicked a picture with me and then said we will look into this in the future. I have narrated this story to many people and I am hoping that very soon things will fall into place. Director Ranjith has said that the short-form of Karikaalan is Kalaa and I am sure it is my script. I had based my story on a chola king in the current period and same is the case in this movie as well,"" said Rajashekaran.City-based Wonderbar Films Private Limited has announced it was producing the movie to be directed by Pa Ranjith. The first schedule shoot for the film was completed in Mumbai.Rajashekaran, who now works as a music teacher in a private school in the city is also actively involved in assisting in serials. His last venture was in a serial called 'Vinnai Thandi Varuvaya'. Rajashekaran claims that in 1992 was when he had first spoken about his script and had also registered the title Karigalan. ""I wrote this script keeping in mind Rajini sir and if not Rajini the second option in mind was Vijayakanth. I have been visiting a lot of producers to get this script into a movie. It has been a long time dream for me as well as my family,"" said Rajashekaran. He contended that the title Karikalaan was already registered by him with the South Indian Film Chamber of Commerce.""Title registration of the movie has been done and it is done only after telling the story line. In 1996 during an audio launch had announced about the makinh of Kaarigalan and in 2012, When actor Chiyaan Vikram was doing Kaarigalan, the movie was stayed because of my complaint. Vikram's Karigalan trailer and promo is there on the internet and the same that is being shot by Rajini as well,"" he added.Further, on the occasion of releasing a music album composed by him, he had announced his plans to produce the movie about the Chola emperor Karikalaan by adopting the same to the present social trend, he said.He claimed that he had narrated the story to Rajinikanth Fans Association leader Sathyanarayana. Though he met Rajinikanth, because of his busy schedule, he was unable to hear the story, the petitioner added.He alleged that the chamber had not renewed the title registration and was misusing the rules of registration, renewal and cancellation of the titles to favour some influential persons and disfavouring indigent persons.( With inputs from Akshaya Nath, India Today )",25,"A producer filed a petition claiming the title and story of Rajinikanth's upcoming film 'Kaala Karikaalan' belongs to him. Further, he claimed that the film's title has been registered with the South Indian Film Chamber of Commerce, and alleged that the chamber is misusing rules to ""favour influential people"". He asked the court to restrain the film's makers from shooting.","Further, he claimed that the film's title has been registered with the South Indian Film Chamber of Commerce, and alleged that the chamber is misusing rules to ""favour influential people"". A producer filed a petition claiming the title and story of Rajinikanth's upcoming film 'Kaala Karikaalan' belongs to him. He asked the court to restrain the film's makers from shooting."
858,"Television actor Karan Wahi has slammed the serial Pehredaar Piya Ki, which shows a 9-year-old boy marrying an adult woman, who is said to be his 'bodyguard'. Wahi wrote in a Facebook post, ""Don't sell me stupidity in the name of content which gives TRP because honestly no one is watching this."" He added, ""We can be better than this.""","Television actor Karan Wahi has expressed his disappointment at the makers of Pehredaar Piya Ki, Sony?s new daily soap, for showing a romantic angle between an adult woman and a preteen boy.Wahi took to Facebook to share his concern on the quality of content being shown on television. ?Dear producer and channel, I understand we cant make shows like How I Met Your Mother and Friends, and honestly I don?t expect us to also, but for the love of god and for the reason we all got in this industry please don?t sell me stupidity in the name of content which gives TRP because honestly no one is watching this,? he wrote in the post.?Leave aside other people, I think the fraternity only doesn?t (watch the show). I wish and pray well for everyone who is a part of this show also but it would be great if we started enjoying our work and not just working because we don?t have an option. Not to sound arrogant but we can be better than this,? he added.Pehredaar Piya Ki aired its first episode on Monday. It tells the story of a 9-year-old prince who is put under the care and security of his adult wife. Even the promos, when released about a month ago, got a lot of flak for showing a romantic relationship between a child and an adult. The trailer showed child actor Afaan Khan put vermillion on Tejaswi Prakash, causing a furore among viewers.The show?s synopsis on YouTube reads: ?While Diya takes up her duty of a wife and willfully commits to the relationship, Ratan is enamored by her beauty and considers her to be a pari from the fairy tales he has heard from his Maasa. Though being a miss matched couple, both create a comfortable world for themselves. While 9-year-old husband tries to cheer up his wife Diya with his cute gestures, Diya keeps up the promise to protect him and nurture their relationship. Will Diya and Ratan rewrite the pages of history with their love story? Is age only a number when it comes to finding true love? Watch the unfolding of a beautiful fairytale as Pehredaar Piya Ki presents the most unique Jodi on Indian television.?    Pehredaar Piya Ki ?? ?? @tejasswiprakash baby smile :) plz ?? Guys watever @imkaranwahi said its his pov no1 can question him neither me nor you guys. But this doesnt change the fact that WE the whole team of #PPK we love this show and we all have worked really hard for it and we still are andddd we will ?? our motive is to entertain you guys not promote child marriage or anything. This show is different , plz dont judge it and jump onto conclusions ?? If a channel like @sonytvofficial has approved the show they must have thought something right ??? Even d producers must have thought a lot before making this and investing soo much money ?? its my req to all,plz watch it first and then decide :) maybe m wrong MAYBE :) but lets wait n then decide. Love to all ???? n thanku for sucha good response for the frst epi .?? @tejasswiprakash baby smile :) plz ?? A post shared by Suyyash Ranjana Rai (@suyyashrai) on Jul 19, 2017 at 1:50am PDTActor Suyyash Rai, who is a part of the show, made a post on Instagram saying that Karan?s views are his own and the show doesn?t support child marriage. ?Guys, whatever Karan Wahi said it?s his point of view. No one can question him neither me nor you guys. But this doesn?t change the fact that we, the whole team of #PPK, we love this show and we all have worked really hard for it and we still are and we will. Our motive is to entertain you guys not promote child marriage or anything. This show is different , please don?t judge it and jump onto conclusions. If a channel like Sony has approved the show they must have thought something right? Even the producers must have thought a lot before making this and investing so much money. It?s my request to all, please watch it first and then decide. Maybe m wrong maybe but lets wait and then decide. Love to all and thank you for such a good response for the first episode. Tejasswi Prakash baby smile please,? he wrote with the post.Follow @htshowbiz for more",47,"Television actor Karan Wahi has slammed the serial Pehredaar Piya Ki, which shows a 9-year-old boy marrying an adult woman, who is said to be his 'bodyguard'. Wahi wrote in a Facebook post, ""Don't sell me stupidity in the name of content which gives TRP because honestly no one is watching this. "" He added, ""We can be better than this. ""","Television actor Karan Wahi has slammed the serial Pehredaar Piya Ki, which shows a 9-year-old boy marrying an adult woman, who is said to be his 'bodyguard'. Wahi wrote in a Facebook post, ""Don't sell me stupidity in the name of content which gives TRP because honestly no one is watching this. "" He added, ""We can be better than this. """
227,"Twenty-nine Indian cities and towns including Delhi fall under 'severe' to 'very severe' seismic zones, according to National Centre for Seismology. Different regions across the country were classified into earthquake zones II to V by Bureau of Indian Standards, with Zone V being the most active. Delhi, northern Uttar Pradesh and parts of Jammu and Kashmir fall under Zone IV.","Twenty-nine Indian cities and towns, including Delhi and capitals of nine states, fall under ?severe? to ?very severe? seismic zones, according to the National Centre for Seismology (NCS).A majority of these places are in the Himalayas, one of the most seismically active regions in the world.Delhi, Patna (Bihar), Srinagar (Jammu and Kashmir), Kohima (Nagaland), Puducherry, Guwahati (Assam), Gangtok (Sikkim), Shimla (Himachal Pradesh), Dehradun (Uttarakhand), Imphal (Manipur) and Chandigarh fall under seismic zones IV and V.These cities have a combined population of over three crore.The Bureau of Indian Standards (BIS) has classified different regions in the country into zones II to V, taking into consideration earthquake records, tectonic activities and damage caused, the director of the NCS, Vineet Gauhlat, said.The NCS, which records earthquakes and carries out studies pertaining to microzonation of cities, comes under the India Meteorological Department (IMD).Seismic microzonation is the process of subdividing a region into smaller areas having different potential for hazardous earthquake effects.Zone II is considered the least seismically active, while Zone V is the most active. Zone IV and V fall under ?severe? to ?very severe? categories respectively.Zone V includes the entire northeastern region, parts of Jammu and Kashmir, Himachal Pradesh, Uttarkhand, the Rann of Kutch in Gujarat, parts of north Bihar and the Andaman and Nicobar archipelago.Parts of Jammu and Kashmir, Delhi, Sikkim, northern Uttar Pradesh, West Bengal, Gujarat and a small part of Maharashtra fall under Zone IV.Bhuj, which was struck by a massive earthquake in 2001 in which 20,000 people were killed, Chandigarh, Ambala, Amritsar, Ludhiana and Roorkee fall under zones IV and V.Kusala Rajendran, a professor at the Indian Institute of Science (IISc), Bengaluru, and an expert on paleoseismology, earthquake recurrence and active tectonics, said most of the cities in the list have a high population density and fall in the Indo-Gangetic plains.?The Himalayan arc, stretching from the upper Assam region to Jammu and Kashmir, is known to be a high seismic zone and these cities in the Indo-Gangetic belt fall within reasonable limits of the Himalayas. So repercussions are bound to be felt there,? she observed.M Rajeevan, secretary, ministry of Earth Sciences, said 31 new earthquake observatories will come up in the country by March next year. At present, there are 84 observatories.This is being done to detect and record earthquake parameters more accurately and identify possible precursors of tremors.The NCS has also carried out microzonation of cities like Delhi and Kolkata to study the possible impact of earthquake in these mega cities. ",22,"Twenty-nine Indian cities and towns including Delhi fall under 'severe' to 'very severe' seismic zones, according to National Centre for Seismology. Different regions across the country were classified into earthquake zones II to V by Bureau of Indian Standards, with Zone V being the most active. Delhi, northern Uttar Pradesh and parts of Jammu and Kashmir fall under Zone IV.","Twenty-nine Indian cities and towns including Delhi fall under 'severe' to 'very severe' seismic zones, according to National Centre for Seismology. Different regions across the country were classified into earthquake zones II to V by Bureau of Indian Standards, with Zone V being the most active. Delhi, northern Uttar Pradesh and parts of Jammu and Kashmir fall under Zone IV."
177,"The Gorkha Janmukti Morcha (GJM) has given the Centre 10 days to intervene in the ongoing agitation for the separate state of Gorkhaland, failing which it threatened to intensify the protests. ""An indefinite shutdown is going on for the last 47 days. The Centre can't just sit idle when the hills are burning,"" GJM leaders said. ","The Gorkha Janamukti Morcha has given a ten-day deadline to the Centre to intervene in the Gorkhaland statehood stir as the indefinite shutdown in the hills entered its 47th day on Monday.?We have given a ten-day deadline to the Union government to intervene. An indefinite shutdown is going on for the last 47 days. The Centre can?t just sit idle when the hills are burning,? GJM assistant general secretary Binay Tamang told reporters on Sunday night.The 30-member Gorkhaland Movement Coordination Committee (GMCC), a body of all the hill parties of Darjeeling, is in Delhi for an all-party meeting.The GMC has sought an appointment with Union Home minister Rajnath Singh to brief him on the ongoing crisis in the hills.?We have sought a meeting with Union home minister Rajnath Singh in order to brief him on the ongoing crisis in the hills. The indefinite shutdown has entered its 47th day, which is the longest-ever shutdown in the history of Darjeeling. The Centre needs to take concrete action,? Bharatiya Gorkha Parisangh president Sukhman Moktan told PTI.The police and security forces patrolled the streets of the hills and kept a tight vigil at all entry and exit routes.Normal life remained crippled during the indefinite strike to press for a separate Gorkhaland state. Barring medicine shops, business establishments, restaurants, hotels, schools and colleges remained closed.",14,"The Gorkha Janmukti Morcha (GJM) has given the Centre 10 days to intervene in the ongoing agitation for the separate state of Gorkhaland, failing which it threatened to intensify the protests. ""An indefinite shutdown is going on for the last 47 days. The Centre can't just sit idle when the hills are burning,"" GJM leaders said.","The Gorkha Janmukti Morcha (GJM) has given the Centre 10 days to intervene in the ongoing agitation for the separate state of Gorkhaland, failing which it threatened to intensify the protests. The Centre can't just sit idle when the hills are burning,"" GJM leaders said. ""An indefinite shutdown is going on for the last 47 days."
2356,"Water supply to Ghaziabad and Noida will be temporarily disrupted because of silt deposit in the Upper Ganga Canal, caused by heavy rains in Uttarakhand. An official from Ghaziabad's water treatment plant said, ""The issues of low supply and disruption will persist for some days. The water supply to the plant is low and it will decrease further by Friday."""," Ganga water supply to Ghaziabad will be disrupted for a couple of days due to silt deposit in the canal, officials said.The UP irrigation department has shut the Upper Ganga Canal (UGC). Officials of UP Jal Nigam said that the Upper Ganga Canal (UGC) has been temporarily shut due to silt deposit caused by heavy rains in Uttarakhand.The UGC, which originates from Haridwar, supplies Ganga water to two treatment plants at Pratap Vihar in Ghaziabad where the water is treated and supplied to trans-Hindon areas of Ghaziabad and neighbouring Noida.?The water supply through the canal has been stopped. We received the information on Thursday afternoon and it will be put into effect in 12 hours. The issues of low supply and disruption will persist for a couple of days. The water supply to the plant is low and it will decrease further by Friday,? said Neelam, project manager of UP Jal Nigam at the Ganga water treatment plant in Ghaziabad.Residents in trans-Hindon areas said that their routine will be disrupted as a majority of the trans-Hindon population is dependent on Ganga water.?It will be problematic as residents are primarily dependent on the Ganga water supply. We don?t have groundwater supply. Also, we have not installed water purification systems and there will be a problem of unclean water supply,? said Meenakshi Mishra, of Gyan Khand in Indirapuram.Read I Ganga water supply shut in Noida, Ghaziabad?Ganga water supply in our area is comparatively low. We are mostly depended on groundwater supply,? said Vijay Laxmi, of Vaishali Sector 5.Of the two plants at Pratap Vihar, the 120MLD plant supplies 45MLD to Noida and 75 MLD to trans-Hindon Ghaziabad. 200MLD from the second plant, of 245MLD capacity, is supplied to Noida and 45MLD to Ghaziabad.",19,"Water supply to Ghaziabad and Noida will be temporarily disrupted because of silt deposit in the Upper Ganga Canal, caused by heavy rains in Uttarakhand. An official from Ghaziabad's water treatment plant said, ""The issues of low supply and disruption will persist for some days. The water supply to the plant is low and it will decrease further by Friday. ""","Water supply to Ghaziabad and Noida will be temporarily disrupted because of silt deposit in the Upper Ganga Canal, caused by heavy rains in Uttarakhand. An official from Ghaziabad's water treatment plant said, ""The issues of low supply and disruption will persist for some days. The water supply to the plant is low and it will decrease further by Friday. """
2817,"China on Wednesday launched its biggest new generation destroyer weighing 10,000 tonnes as part of a massive expansion of its navy. The country's first new generation destroyer is equipped with new air defence, anti-missile, anti-ship and anti-submarine weapons. This comes after China recently launched its first domestically built aircraft carrier amid North Korea's nuclear threats to the US.","By K J M Varma Beijing, Jun 28 (PTI) Chinas Navy today launched its biggest new generation destroyer weighing 10,000 tonnes as part of a massive expansion to become a global naval power. The Navys new destroyer, a domestically designed and produced vessel, was launched at the Jiangnan Shipyard (Group), Shanghai. The vessel is the first of Chinas new generation of destroyers. It is equipped with new air defence, anti-missile, anti-ship and anti-submarine weapons, state-run Xinhua news agency reported. The vessel marks a milestone in improving the nations Navy armament system and building a strong and modern Navy. According to the plan, tests will be carried on the vessel, including equipment operation, berthing and sailing. The biggest naval destroyer was an addition to two aircraft carriers which China is in the process of deploying to compete with other naval powers liked the US and India, specially in the India Ocean. The Chinese Navy is currently trying to form battle groups that accompany the aircraft carriers when they set out on missions far from shores. The first aircraft carrier Liaoning has left with a flotilla of Chinese naval ships on June 25 on ""routine training mission"" from Qingdao in east China. The naval formation includes destroyers Jinan and Yinchuan, frigate Yantai and a squadron of J-15 fighter jets and helicopters, a Chinese defence ministry statement said. The training mission, like the previous ones, is expected to strengthen coordination among the vessels and improve the skills of crew and pilots in different marine region. ",11,"China on Wednesday launched its biggest new generation destroyer weighing 10,000 tonnes as part of a massive expansion of its navy. The country's first new generation destroyer is equipped with new air defence, anti-missile, anti-ship and anti-submarine weapons. This comes after China recently launched its first domestically built aircraft carrier amid North Korea's nuclear threats to the US.","This comes after China recently launched its first domestically built aircraft carrier amid North Korea's nuclear threats to the US. China on Wednesday launched its biggest new generation destroyer weighing 10,000 tonnes as part of a massive expansion of its navy. The country's first new generation destroyer is equipped with new air defence, anti-missile, anti-ship and anti-submarine weapons."
342,"Varun Dhawan, while talking about marrying his girlfriend Natasha Dalal, said that they haven't thought that much ahead. Varun added, ""When you find someone and that connection is formed, then everything else...doesn't actually matter."" He further said that Natasha is not from the film industry and he tries as much as he can to protect her from the media frenzy. n","Although Varun Dhawan has never announced that he is dating Natasha Dalal, their relationship is an open secret. The actor opened up about his relationship on Neha Dhupia's podcast, #NoFilterNeha, and said that he has found the one.Varun said, ""I have never hidden it from anyone that I have been in a relationship. I have just never spoken about it openly."" He talked about how being a public figure, speculation about his relationship has always made headlines. The Badrinath Ki Dulhania actor said, ""She is not from the film line, so as much as I can, I protect her from the media frenzy.""When Neha asked Varun if there would be wedding bells in the near future, he said, ""Honestly, we have not thought that much ahead. Sometimes in life, when you find someone and that connection is formed, then everything else that you thought was the be-all and end-all of life, doesn't actually matter.""On the work front, Varun will be seen next in his father David Dhawan's Judwaa 2 in a double role.",9,"Varun Dhawan, while talking about marrying his girlfriend Natasha Dalal, said that they haven't thought that much ahead. Varun added, ""When you find someone and that connection is formed, then everything else... doesn't actually matter. "" He further said that Natasha is not from the film industry and he tries as much as he can to protect her from the media frenzy. n","Varun Dhawan, while talking about marrying his girlfriend Natasha Dalal, said that they haven't thought that much ahead. Varun added, ""When you find someone and that connection is formed, then everything else... doesn't actually matter. "" He further said that Natasha is not from the film industry and he tries as much as he can to protect her from the media frenzy. n"
1891,"While delivering a speech on celebrations of former Prime Minister Atal Bihari Vajpayee's 92nd birthday, BJP's Aligarh mayor Shakuntala Bharti said, ""Former PM Atal Bihari Vajpayeeji is no longer with us, but his memories remain."" While the Mayor accepted her mistake and apologised for it later, former Aligarh Zila Panchayat member Narendra Pachauri termed Bharti as an 'ignorant'.","Bharatiya Janata Party's Aligarh mayor Shakuntala Bharti while delivering speech on the the eve of celebrations of former Prime Minister Atal Bihari Vajpayee's birthday, referred him as ""deceased"". Bharti left the audience in shock when while addressing students at Dharam Jyoti Mahavidyalya School at Iglas in Aligarh, she said, ""Former PM Atal Bihari Vajpayee ji is no longer with us, but his memories remain.""Also read: PM Modi, Rajnath Singh, Amit Shah sing Vajpayee's praises on his birthdayThe incident took place during an event organised to celebrate the 155th birth anniversary of Madan Mohan Malviya and Vajpayee's 92nd birthday. ",3,"While delivering a speech on celebrations of former Prime Minister Atal Bihari Vajpayee's 92nd birthday, BJP's Aligarh mayor Shakuntala Bharti said, ""Former PM Atal Bihari Vajpayeeji is no longer with us, but his memories remain. "" While the Mayor accepted her mistake and apologised for it later, former Aligarh Zila Panchayat member Narendra Pachauri termed Bharti as an 'ignorant'.","While delivering a speech on celebrations of former Prime Minister Atal Bihari Vajpayee's 92nd birthday, BJP's Aligarh mayor Shakuntala Bharti said, ""Former PM Atal Bihari Vajpayeeji is no longer with us, but his memories remain. "" While the Mayor accepted her mistake and apologised for it later, former Aligarh Zila Panchayat member Narendra Pachauri termed Bharti as an 'ignorant'."
1027,"Mexican photographer Sergio Tapiro Velasco, who captured the explosion of a volcano with lightning connecting the ash cloud and volcano surface in 2015, has been named National Geographic Travel Photographer of the Year 2017. The friction in the ash particles generated a lightning bolt about 600 metres long between the ash and the volcano, Velasco described.","It could easily be mistaken as a CGI photo, given the stunning improbability of capturing a lightning bolt striking an angry, erupting volcano. But that?s precisely what earned a Mexican photographer the title of 2017 National Geographic Travel Photographer of the Year. Selected from more than 15,000 entries from participants in more than 30 countries, the photograph by Sergio Tapiro Valesco captures volcanic lightning -- also known as a dirty thunderstorm -- whereby a flash of lightning is produced within the ash cloud spewing from the volcano. Titled ?The Power of Nature,? the photo was taken 12 km away from the crater of the active volcano on a clear night. Glowing, angry lava, plumes of grey smoke and lightning bolts are set against a starlit night sky, producing visual testimony of nature?s brute force. For more than a decade, Velasco has been studying and photographing Mexico?s Colima volcano, also known as the ?Volcano of Fire.?  He had been tracking the increase in activity and closely monitoring the volcano for almost a month, and positioned himself for the shoot, during which he heard an explosive booming noise. ?When I looked on the camera display, all I could do was stare,? Velasco said.  ?What I was watching was impossible to conceive, the image showed those amazing forces of nature interacting on a volcano, while the lightning brightened the whole scene. It?s an impossible photograph and my once in a lifetime shot that shows the power of nature.? Follow @htlifeandstyle for more. ",15,"Mexican photographer Sergio Tapiro Velasco, who captured the explosion of a volcano with lightning connecting the ash cloud and volcano surface in 2015, has been named National Geographic Travel Photographer of the Year 2017. The friction in the ash particles generated a lightning bolt about 600 metres long between the ash and the volcano, Velasco described.","Mexican photographer Sergio Tapiro Velasco, who captured the explosion of a volcano with lightning connecting the ash cloud and volcano surface in 2015, has been named National Geographic Travel Photographer of the Year 2017. The friction in the ash particles generated a lightning bolt about 600 metres long between the ash and the volcano, Velasco described."
