,pred_summary_score,my_pred_summary_score
0,"(0.1758241758241758, 0.022471910112359553)","[0.12121212121212122, 0.19047619047619047, 0.17094017094017094]"
1,"(0.2368421052631579, 0.013333333333333336)","[0.04, 0.022222222222222223, 0.024390243902439022]"
2,"(0.23645320197044334, 0.01990049751243781)","[0.09433962264150944, 0.0847457627118644, 0.08650519031141866]"
3,"(0.26865671641791045, 0.030303030303030304)","[0.16129032258064516, 0.10638297872340426, 0.1141552511415525]"
4,"(0.25333333333333335, 0.05405405405405405)","[0.15, 0.17647058823529413, 0.17045454545454544]"
5,"(0.2836363636363636, 0.1098901098901099)","[0.14754098360655737, 0.1323529411764706, 0.13513513513513514]"
6,"(0.32558139534883723, 0.04682274247491639)","[0.19230769230769232, 0.1744186046511628, 0.17772511848341233]"
7,"(0.2857142857142857, 0.046242774566473986)","[0.21875, 0.14285714285714285, 0.15350877192982457]"
8,"(0.19607843137254902, 0.026490066225165563)","[0.125, 0.08695652173913043, 0.0925925925925926]"
9,"(0.13333333333333333, 0.0)","[0.0, 0.0, 0]"
10,"(0.25000000000000006, 0.03225806451612904)","[0.1016949152542373, 0.06896551724137931, 0.0737100737100737]"
11,"(0.19753086419753085, 0.0125)","[0.05405405405405406, 0.0392156862745098, 0.041493775933609964]"
12,"(0.28346456692913385, 0.064)","[0.07407407407407407, 0.04878048780487805, 0.05235602094240838]"
13,"(0.39999999999999997, 0.22818791946308725)","[0.40350877192982454, 0.27710843373493976, 0.29562982005141386]"
14,"(0.31000000000000005, 0.08080808080808081)","[0.17073170731707318, 0.2, 0.1933701657458564]"
15,"(0.20725388601036268, 0.02094240837696335)","[0.08163265306122448, 0.08695652173913043, 0.08583690987124462]"
16,"(0.21333333333333337, 0.040540540540540536)","[0.30434782608695654, 0.11475409836065574, 0.1310861423220974]"
17,"(0.1518987341772152, 0.025974025974025972)","[0.15384615384615385, 0.07142857142857142, 0.08]"
18,"(0.15748031496062992, 0.023809523809523808)","[0.06976744186046512, 0.03529411764705882, 0.0391644908616188]"
19,"(0.3275862068965517, 0.08771929824561404)","[0.3, 0.21428571428571427, 0.22727272727272727]"
20,"(0.26540284360189575, 0.03827751196172249)","[0.045454545454545456, 0.0392156862745098, 0.04032258064516129]"
21,"(0.24844720496894412, 0.03773584905660377)","[0.2857142857142857, 0.09836065573770492, 0.11320754716981131]"
22,"(0.0, 0.0)","[0.0, 0.0, 0]"
23,"(0.2834645669291338, 0.03968253968253968)","[0.21428571428571427, 0.12857142857142856, 0.13975155279503104]"
24,"(0.22916666666666666, 0.021276595744680847)","[0.3157894736842105, 0.16216216216216217, 0.17964071856287425]"
25,"(0.2935779816513761, 0.037383177570093455)","[0.3181818181818182, 0.21212121212121213, 0.22727272727272724]"
26,"(0.25373134328358204, 0.07575757575757576)","[0.16666666666666666, 0.14285714285714285, 0.14705882352941174]"
27,"(0.18181818181818182, 0.0)","[0.07407407407407407, 0.06060606060606061, 0.06289308176100629]"
28,"(0.13186813186813184, 0.0)","[0.09375, 0.13043478260869565, 0.12096774193548386]"
29,"(0.20134228187919462, 0.013605442176870748)","[0.22727272727272727, 0.1, 0.11261261261261261]"
30,"(0.1917808219178082, 0.027777777777777776)","[0.18181818181818182, 0.12, 0.12875536480686697]"
31,"(0.24705882352941172, 0.035714285714285705)","[0.15151515151515152, 0.09433962264150944, 0.10204081632653063]"
32,"(0.2476190476190476, 0.012779552715654952)","[0.15151515151515152, 0.13157894736842105, 0.13513513513513511]"
33,"(0.2931937172774869, 0.031746031746031744)","[0.1956521739130435, 0.15, 0.15734265734265732]"
34,"(0.20765027322404372, 0.055248618784530384)","[0.2571428571428571, 0.16363636363636364, 0.17647058823529413]"
35,"(0.28800000000000003, 0.05645161290322581)","[0.09433962264150944, 0.09259259259259259, 0.0929368029739777]"
36,"(0.3356643356643357, 0.056338028169014086)","[0.19672131147540983, 0.15384615384615385, 0.16085790884718498]"
37,"(0.16260162601626016, 0.0)","[0.21428571428571427, 0.07692307692307693, 0.08823529411764705]"
38,"(0.19130434782608693, 0.035398230088495575)","[0.19230769230769232, 0.13157894736842105, 0.1404494382022472]"
39,"(0.27692307692307694, 0.02072538860103627)","[0.16666666666666666, 0.1206896551724138, 0.12773722627737227]"
40,"(0.16058394160583941, 0.014705882352941175)","[0.10526315789473684, 0.06741573033707865, 0.07263922518159807]"
41,"(0.3943661971830986, 0.17142857142857143)","[0.30303030303030304, 0.2564102564102564, 0.26455026455026454]"
42,"(0.21374045801526714, 0.0)","[0.06060606060606061, 0.05128205128205128, 0.052910052910052914]"
43,"(0.2677165354330709, 0.0)","[0.13333333333333333, 0.09523809523809523, 0.10101010101010101]"
44,"(0.2631578947368421, 0.031914893617021274)","[0.14634146341463414, 0.12244897959183673, 0.12658227848101264]"
45,"(0.18867924528301888, 0.01923076923076923)","[0.07692307692307693, 0.058823529411764705, 0.06172839506172839]"
46,"(0.2941176470588235, 0.0693069306930693)","[0.2, 0.18, 0.1836734693877551]"
47,"(0.3228699551569507, 0.06334841628959277)","[0.17307692307692307, 0.15254237288135594, 0.15625000000000003]"
48,"(0.22026431718061673, 0.0)","[0.13513513513513514, 0.06666666666666667, 0.07418397626112759]"
49,"(0.19512195121951217, 0.0)","[0.13043478260869565, 0.07692307692307693, 0.08379888268156424]"
50,"(0.10714285714285712, 0.01818181818181818)","[0.2631578947368421, 0.12195121951219512, 0.1366120218579235]"
51,"(0.2255639097744361, 0.015267175572519083)","[0.1724137931034483, 0.13157894736842105, 0.13812154696132595]"
52,"(0.3448275862068965, 0.07017543859649124)","[0.1875, 0.2222222222222222, 0.21428571428571427]"
53,"(0.2603550295857988, 0.05988023952095808)","[0.14285714285714285, 0.1, 0.10638297872340426]"
54,"(0.31137724550898205, 0.03636363636363637)","[0.15789473684210525, 0.12244897959183673, 0.1282051282051282]"
55,"(0.3522727272727273, 0.10344827586206896)","[0.3142857142857143, 0.20754716981132076, 0.22267206477732795]"
56,"(0.17610062893081763, 0.03821656050955414)","[0.02702702702702703, 0.021739130434782608, 0.022624434389140274]"
57,"(0.21164021164021166, 0.0427807486631016)","[0.18421052631578946, 0.15217391304347827, 0.15765765765765766]"
58,"(0.32499999999999996, 0.0379746835443038)","[0.11764705882352941, 0.10526315789473684, 0.10752688172043011]"
59,"(0.13333333333333333, 0.0)","[0.15384615384615385, 0.10810810810810811, 0.11494252873563218]"
60,"(0.25082508250825086, 0.03322259136212625)","[0.14285714285714285, 0.10714285714285714, 0.11278195488721804]"
61,"(0.25396825396825395, 0.04472843450479233)","[0.15625, 0.10526315789473684, 0.1126126126126126]"
62,"(0.2043795620437956, 0.029629629629629627)","[0.061224489795918366, 0.0967741935483871, 0.08670520231213874]"
63,"(0.16176470588235292, 0.0)","[0.17391304347826086, 0.08163265306122448, 0.09132420091324202]"
64,"(0.27522935779816515, 0.018518518518518517)","[0.09523809523809523, 0.06896551724137931, 0.07299270072992699]"
65,"(0.2153846153846154, 0.0)","[0.11538461538461539, 0.07692307692307693, 0.08241758241758242]"
66,"(0.29457364341085274, 0.031496062992125984)","[0.2222222222222222, 0.15789473684210525, 0.16759776536312848]"
67,"(0.2711864406779661, 0.00854700854700855)","[0.07407407407407407, 0.06153846153846154, 0.06369426751592357]"
68,"(0.1111111111111111, 0.0)","[0.15384615384615385, 0.1111111111111111, 0.1176470588235294]"
69,"(0.1149425287356322, 0.0)","[0.06666666666666667, 0.037037037037037035, 0.04065040650406504]"
70,"(0.3020833333333333, 0.06315789473684212)","[0.09615384615384616, 0.09433962264150944, 0.0946969696969697]"
71,"(0.08, 0.0)","[0.1111111111111111, 0.03571428571428571, 0.04132231404958678]"
72,"(0.205607476635514, 0.01904761904761905)","[0.0, 0.0, 0]"
73,"(0.1910828025477707, 0.025806451612903226)","[0.17142857142857143, 0.15, 0.15384615384615385]"
74,"(0.24137931034482757, 0.034782608695652174)","[0.11627906976744186, 0.07246376811594203, 0.07836990595611286]"
75,"(0.18055555555555552, 0.014084507042253521)","[0.06666666666666667, 0.04878048780487805, 0.05154639175257732]"
76,"(0.07228915662650602, 0.0)","[0.05263157894736842, 0.029411764705882353, 0.03225806451612903]"
77,"(0.1346153846153846, 0.0196078431372549)","[0.16666666666666666, 0.11428571428571428, 0.12195121951219512]"
78,"(0.15999999999999998, 0.0)","[0.13333333333333333, 0.06060606060606061, 0.06802721088435373]"
79,"(0.36619718309859156, 0.1042654028436019)","[0.3, 0.21052631578947367, 0.22388059701492538]"
80,"(0.20979020979020982, 0.0425531914893617)","[0.12903225806451613, 0.09090909090909091, 0.0966183574879227]"
81,"(0.18803418803418806, 0.034782608695652174)","[0.047619047619047616, 0.024390243902439025, 0.02702702702702703]"
82,"(0.32, 0.04484304932735426)","[0.1724137931034483, 0.20408163265306123, 0.1968503937007874]"
83,"(0.06451612903225805, 0.0)","[0.0, 0.0, 0]"
84,"(0.3246753246753247, 0.07391304347826087)","[0.2631578947368421, 0.1984126984126984, 0.2086811352253756]"
85,"(0.23041474654377878, 0.027906976744186046)","[0.1590909090909091, 0.0958904109589041, 0.10416666666666664]"
86,"(0.1761658031088083, 0.010471204188481676)","[0.04, 0.0136986301369863, 0.015772870662460567]"
87,"(0.14285714285714285, 0.0)","[0.058823529411764705, 0.043478260869565216, 0.04587155963302752]"
88,"(0.22641509433962265, 0.025477707006369425)","[0.1, 0.06666666666666667, 0.07142857142857142]"
89,"(0.2755102040816326, 0.056410256410256404)","[0.21052631578947367, 0.11214953271028037, 0.12371134020618556]"
90,"(0.19753086419753085, 0.025316455696202535)","[0.05, 0.04, 0.041666666666666664]"
91,"(0.3333333333333333, 0.06557377049180328)","[0.19607843137254902, 0.16129032258064516, 0.16722408026755853]"
92,"(0.24050632911392403, 0.025641025641025637)","[0.21212121212121213, 0.13725490196078433, 0.14767932489451477]"
93,"(0.35000000000000003, 0.07594936708860758)","[0.42424242424242425, 0.2916666666666667, 0.3111111111111111]"
94,"(0.2519280205655527, 0.03617571059431524)","[0.11538461538461539, 0.15384615384615385, 0.14423076923076925]"
95,"(0.11940298507462688, 0.015151515151515152)","[0.14285714285714285, 0.06976744186046512, 0.07772020725388601]"
96,"(0.1726618705035971, 0.0)","[0.041666666666666664, 0.021739130434782608, 0.024038461538461533]"
97,"(0.1834862385321101, 0.0)","[0.15384615384615385, 0.13793103448275862, 0.1408450704225352]"
98,"(0.25, 0.0)","[0.07142857142857142, 0.030303030303030304, 0.03424657534246576]"
99,"(0.19285714285714287, 0.028776978417266185)","[0.15873015873015872, 0.12195121951219512, 0.1278772378516624]"
100,"(0.16969696969696968, 0.0)","[0.03571428571428571, 0.015873015873015872, 0.017857142857142856]"
101,"(0.448, 0.12048192771084337)","[0.34210526315789475, 0.34210526315789475, 0.34210526315789475]"
102,"(0.1897810218978102, 0.044444444444444446)","[0.19230769230769232, 0.10869565217391304, 0.11904761904761904]"
103,"(0.26038781163434904, 0.05571030640668524)","[0.2, 0.13725490196078433, 0.14644351464435149]"
104,"(0.14545454545454545, 0.0)","[0.07142857142857142, 0.08695652173913043, 0.08333333333333333]"
105,"(0.23762376237623767, 0.04040404040404041)","[0.2222222222222222, 0.13333333333333333, 0.14492753623188406]"
106,"(0.18045112781954886, 0.0)","[0.0, 0.0, 0]"
107,"(0.18518518518518517, 0.0)","[0.043478260869565216, 0.037037037037037035, 0.03816793893129771]"
108,"(0.2146341463414634, 0.04926108374384236)","[0.14285714285714285, 0.1, 0.10638297872340426]"
109,"(0.16783216783216784, 0.0)","[0.047619047619047616, 0.04, 0.04132231404958677]"
110,"(0.12435233160621761, 0.0)","[0.0625, 0.03278688524590164, 0.03623188405797102]"
111,"(0.26760563380281693, 0.014285714285714285)","[0.21875, 0.1794871794871795, 0.18617021276595744]"
112,"(0.1238938053097345, 0.018018018018018018)","[0.0, 0.0, 0]"
113,"(0.15873015873015872, 0.032786885245901634)","[0.0, 0.0, 0]"
114,"(0.34, 0.0738255033557047)","[0.15294117647058825, 0.19402985074626866, 0.18413597733711048]"
115,"(0.16981132075471697, 0.0)","[0.0625, 0.06896551724137931, 0.06756756756756757]"
116,"(0.3044776119402985, 0.08408408408408409)","[0.2571428571428571, 0.1836734693877551, 0.19480519480519481]"
