,pred_summary_score,my_pred_summary_score
0,"(0.13438735177865613, 0.0)","[0.1044776119402985, 0.3333333333333333, 0.23178807947019864]"
1,"(0.23026315789473686, 0.03973509933774834)","[0.08450704225352113, 0.13636363636363635, 0.1214574898785425]"
2,"(0.2693409742120344, 0.046109510086455335)","[0.1702127659574468, 0.2807017543859649, 0.2484472049689441]"
3,"(0.2051282051282051, 0.022140221402214024)","[0.16304347826086957, 0.3191489361702128, 0.2678571428571429]"
4,"(0.23272727272727275, 0.029304029304029307)","[0.125, 0.29411764705882354, 0.23148148148148148]"
5,"(0.39658848614072495, 0.18843683083511778)","[0.26548672566371684, 0.4411764705882353, 0.38961038961038963]"
6,"(0.32067510548523204, 0.03389830508474577)","[0.21212121212121213, 0.32558139534883723, 0.2941176470588235]"
7,"(0.29916897506925205, 0.06128133704735376)","[0.14150943396226415, 0.30612244897959184, 0.24834437086092714]"
8,"(0.21621621621621623, 0.023346303501945526)","[0.1125, 0.20930232558139536, 0.17857142857142858]"
9,"(0.07142857142857142, 0.0)","[0.04, 0.16666666666666666, 0.10204081632653061]"
10,"(0.36589147286821705, 0.09953343701399689)","[0.21052631578947367, 0.367816091954023, 0.31999999999999995]"
11,"(0.1938325991189427, 0.035398230088495575)","[0.11475409836065574, 0.27450980392156865, 0.2147239263803681]"
12,"(0.2766798418972332, 0.08764940239043825)","[0.19444444444444445, 0.34146341463414637, 0.29661016949152547]"
13,"(0.4346076458752515, 0.2383838383838384)","[0.30578512396694213, 0.4457831325301205, 0.40838852097130246]"
14,"(0.4177215189873418, 0.22292993630573246)","[0.4, 0.4, 0.4]"
15,"(0.2833333333333333, 0.0670391061452514)","[0.16037735849056603, 0.3695652173913043, 0.29310344827586204]"
16,"(0.35494880546075086, 0.17869415807560138)","[0.25742574257425743, 0.4262295081967213, 0.37681159420289856]"
17,"(0.14634146341463414, 0.009852216748768473)","[0.07462686567164178, 0.17857142857142858, 0.13966480446927373]"
18,"(0.32589285714285715, 0.04484304932735426)","[0.18487394957983194, 0.25882352941176473, 0.23965141612200438]"
19,"(0.1751824817518248, 0.029411764705882353)","[0.23333333333333334, 0.25, 0.24647887323943662]"
20,"(0.2113022113022113, 0.019753086419753086)","[0.06422018348623854, 0.13725490196078433, 0.11182108626198083]"
21,"(0.2889518413597734, 0.06267806267806267)","[0.16483516483516483, 0.2459016393442623, 0.22388059701492538]"
22,"(0.0, 0.0)","[0.0, 0.0, 0]"
23,"(0.4008350730688935, 0.20964360587002098)","[0.3090909090909091, 0.4857142857142857, 0.4358974358974359]"
24,"(0.326530612244898, 0.041379310344827586)","[0.2391304347826087, 0.2972972972972973, 0.28350515463917525]"
25,"(0.2765957446808511, 0.0967741935483871)","[0.19230769230769232, 0.30303030303030304, 0.2717391304347826]"
26,"(0.26851851851851855, 0.04672897196261682)","[0.1875, 0.35294117647058826, 0.30000000000000004]"
27,"(0.08205128205128204, 0.010362694300518133)","[0.05063291139240506, 0.12121212121212122, 0.09478672985781991]"
28,"(0.049079754601226995, 0.0)","[0.047058823529411764, 0.17391304347826086, 0.11299435028248586]"
29,"(0.22004889975550126, 0.02948402948402948)","[0.09774436090225563, 0.26, 0.1951951951951952]"
30,"(0.31538461538461543, 0.08527131782945736)","[0.20967741935483872, 0.26, 0.24809160305343514]"
31,"(0.2587601078167116, 0.03252032520325203)","[0.08928571428571429, 0.18867924528301888, 0.154320987654321]"
32,"(0.294314381270903, 0.05704697986577182)","[0.15625, 0.32894736842105265, 0.26939655172413796]"
33,"(0.2719298245614035, 0.05726872246696035)","[0.17266187050359713, 0.4, 0.316622691292876]"
34,"(0.40512820512820513, 0.22680412371134018)","[0.30275229357798167, 0.6, 0.5015197568389058]"
35,"(0.25925925925925924, 0.045454545454545456)","[0.1076923076923077, 0.25925925925925924, 0.2023121387283237]"
36,"(0.38532110091743116, 0.0967741935483871)","[0.19444444444444445, 0.27631578947368424, 0.2548543689320389]"
37,"(0.35036496350364965, 0.09558823529411764)","[0.16176470588235295, 0.28205128205128205, 0.24553571428571427]"
38,"(0.1607717041800643, 0.006472491909385112)","[0.05263157894736842, 0.13157894736842105, 0.10121457489878542]"
39,"(0.2181818181818182, 0.020887728459530026)","[0.10810810810810811, 0.21052631578947367, 0.17699115044247787]"
40,"(0.32104121475054226, 0.04793028322440086)","[0.25210084033613445, 0.33707865168539325, 0.31578947368421056]"
41,"(0.2394366197183099, 0.03546099290780142)","[0.10638297872340426, 0.2564102564102564, 0.2]"
42,"(0.17054263565891475, 0.025974025974025972)","[0.09322033898305085, 0.28205128205128205, 0.20072992700729927]"
43,"(0.20689655172413793, 0.017341040462427744)","[0.10377358490566038, 0.2619047619047619, 0.20072992700729925]"
44,"(0.2876254180602007, 0.05387205387205388)","[0.15714285714285714, 0.22448979591836735, 0.20676691729323307]"
45,"(0.14666666666666667, 0.026845637583892617)","[0.06818181818181818, 0.17647058823529413, 0.13392857142857142]"
46,"(0.2028169014084507, 0.0113314447592068)","[0.03614457831325301, 0.06, 0.053003533568904596]"
